r0,abstol,reltol,R,Mstar,rho_bar,ratio,npts
1000.0,1.0e-12,1.0e-10,7.547336755999333e10,4.37899286892899e31,0.02431668919068694,411.2401948136058,630
1000.0,1.0e-12,1.0e-8,7.547336758224529e10,4.378992865528748e31,0.024316689150297284,411.2401954966696,630
1000.0,1.0e-12,1.0e-6,7.547336125346835e10,4.378992289238388e31,0.024316692067325497,411.24014616433243,630
1000.0,1.0e-10,1.0e-10,7.547336181358485e10,4.378992868781036e31,0.024316694744155085,411.24010089420824,630
1000.0,1.0e-10,1.0e-8,7.547335281690944e10,4.37899286447436e31,0.024316703416134375,411.23995423511644,630
1000.0,1.0e-10,1.0e-6,7.547336482130656e10,4.378992287835543e31,0.024316688610980353,411.2402046175168,630
1000.0,1.0e-8,1.0e-10,7.547336629384245e10,4.378992868768696e31,0.024316690413616542,411.2401741316051,630
1000.0,1.0e-8,1.0e-8,7.547343339664615e10,4.378992845423257e31,0.024316625424733243,411.2412732166639,630
1000.0,1.0e-8,1.0e-6,7.545871208449059e10,4.378992113440065e31,0.02433085599530897,411.00074744300065,630
10000.0,1.0e-12,1.0e-10,7.547336767281888e10,4.378992868927799e31,0.024316689081626885,411.2401966580131,550
10000.0,1.0e-12,1.0e-8,7.547336748121902e10,4.378992865527761e31,0.024316689247940455,411.24019384534296,550
10000.0,1.0e-12,1.0e-6,7.547336176193135e10,4.378992289242477e31,0.024316691575884546,411.24015447550613,550
10000.0,1.0e-10,1.0e-10,7.547336460872209e10,4.378992868778753e31,0.024316692042454326,411.24014658494985,550
10000.0,1.0e-10,1.0e-8,7.547334079841376e10,4.378992864471819e31,0.024316715032814525,411.2397577758905,550
10000.0,1.0e-10,1.0e-6,7.547332045529366e10,4.378992287829621e31,0.02431673149372307,411.23947939225803,550
10000.0,1.0e-8,1.0e-10,7.547336228980927e10,4.378992868767322e31,0.024316694283775985,411.240108680067,550
10000.0,1.0e-8,1.0e-8,7.547282288922025e10,4.378992843932183e31,0.024317215520277737,411.2312937992905,550
10000.0,1.0e-8,1.0e-6,7.548157145026334e10,4.378992216413867e31,0.02430875768227473,411.3743750587354,550
100000.0,1.0e-12,1.0e-10,7.547336768833911e10,4.378992868819965e31,0.024316689066026728,411.2401969218406,470
100000.0,1.0e-12,1.0e-8,7.547336755661932e10,4.378992865419987e31,0.02431668917446254,411.2401950879904,470
100000.0,1.0e-12,1.0e-6,7.54733617526739e10,4.37899228913599e31,0.024316691584241167,411.24015433418026,470
100000.0,1.0e-10,1.0e-10,7.547336204689456e10,4.378992868671986e31,0.02431669451803999,411.24010471823107,470
100000.0,1.0e-10,1.0e-8,7.547335607488565e10,4.378992864366171e31,0.02431670026647908,411.24000750155824,470
100000.0,1.0e-10,1.0e-6,7.547332044591821e10,4.378992287723191e31,0.024316731502194072,411.2394792489982,470
100000.0,1.0e-8,1.0e-10,7.547336479119162e10,4.378992868660221e31,0.02431669186542706,411.24014957880763,470
100000.0,1.0e-8,1.0e-8,7.547319041179997e10,4.378992844736267e31,0.024316860282747235,411.2373013507414,470
100000.0,1.0e-8,1.0e-6,7.548157243919606e10,4.378992216298591e31,0.024308756726180717,411.3743912386076,470
